id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
31605,85.62,2015,10684.55664,431.16,61.3738,62.5,0,0,0,0,94,0,0,0,202,851.0338,419.8738
15108,64.1,2015,1940.246216,464.0976152,9.6906,12.5,150,0,0,0,128,0,22.66666734,0,0,786.9548825,322.8572673
52406,77.16,2015,601.9000244,320.45,0,29.16666667,0,8.333333333,0,0,0,0,0,0,0,357.95,37.5
15203,67.95,2015,3144.193604,387.15,252.364,312.5,383.6319252,16.66666667,155,2375.416667,500,0,680.833313,716.7000008,7213.166667,12993.42924,12606.27924
49815,79.63,2015,689.1453247,421.87,0,159.1666667,0,50,0,0,80,0,137.5,198,63.88333333,1110.42,688.55
3106,61.82,2015,21272.22656,526.2087492,0,333.3333333,400,0,1612.5,3417.5,1200,600,3845.833252,0,0,11935.37533,11409.16659
15306,145.03,2015,2162.5,361.46,47.0232,0,0,0,0,0,40,0,0,73.90000153,0,522.3832015,160.9232015
402,78.8,2015,2433.333252,543.7400022,0,0,265,120,0,160,240,41.66666667,29.16666603,0,1180,2579.573335,2035.833333
4914,70.04,2015,8010.914063,383.1136008,0,0,0,950,166.6666667,1400,1600,680,29.16666603,0,0,5208.946934,4825.833333
16101,74.52,2015,4333.333496,493.45,0,191.6666667,100,21.9,0,140,240,0,0,580,141.6,1908.616667,1415.166667
31315,87.12,2015,502.5571594,470.9264741,0,20,667.666687,0,0,0,0,0,246.8333282,0,0,1405.426489,934.5000152
59003,82.57,2015,2133.045654,547.66,0,0,0,0,5,0,0,0,0.166666672,0,0,552.8266667,5.166666672
18104,94.98,2015,1200,361.46,0,37.5,30,0,3,952,400,166.6666667,0,0,164,2114.626667,1753.166667
40615,46.89,2015,47546.22656,553.9985701,0,1666.666667,0,3416.666667,684,5822.916665,1700,1360,237.4166641,307.9000015,0,15749.56523,15195.56666
29014,102.94,2015,932.2520142,312.33,0,104.1666667,0,19.9,0,0,0,0,6.25,0,90.5,533.1466667,220.8166667
33811,62.04,2015,4906.600098,428.52,0,708.3333333,350,25.1,150,1190,250,100,0,230.8000011,24,3456.753334,3028.233334
27315,68.5,2015,257.6674805,356,0,25,814.6688598,600,0,2806.833335,0,0,0,144.5600014,0,4747.062196,4391.062196
18914,104.82,2015,7503.953125,438.99,67.176,958.3333333,104,1116.666667,25,176,580,775,0,265.7000008,0,4506.866001,4067.876001
48005,71.28,2015,469.413269,493.32,433.0358,103.1666667,1064.612396,108.7,0,64,160,0,0,0,31.8,2458.634863,1965.314863
59404,70.49,2015,6908.333496,431.08,0,408.3333333,0,0,307.5,12.5,240,718.3333333,0,0,288,2405.746667,1974.666667
50103,69.79,2015,5530.100586,421.87,0,125,250,809.9,819.9166667,1489.666667,4300,284.1666667,0,0,313.9,8814.42,8392.55
55311,69.82,2015,1615.280029,415.17,0,245,142.9243614,240,4.166666667,320,120,8.333333333,1.666666627,200,284,1981.261028,1566.091028
43714,60.62,2015,33.94907761,412.13,0,0,50,11,18,0,80,0,0,57.5,408,1036.63,624.5
33203,70.08,2015,4423.535156,362.1,0,0,237.5,0,50,96,200,0,34.16666794,266,28,1273.766668,911.6666679
41106,21.34,2015,4615.279785,508.3027764,0,191.6666667,240,0,0,0,120,0,8.333333015,60,344,1472.302776,963.9999997
55411,47.9,2015,687.4133301,415.17,0,666.6666667,0,125,0,0,0,80,0,0,0,1286.836667,871.6666667
