Taxpayer_ID,Year,Sector,Sector_Code,weight,Revenues,Other_revenues,Expenses,Net_accounting_profit,Total_additions_to_GP,Other_deductions,Investment_incentive,Carried_forward_losses,Op_WDV_Comp,Op_WDV_Mach,Op_WDV_Bld,Op_WDV_Others,sch2_wdv_beg_year_class_20,Tax_depr_Intang,Add_Bld,Add_Comp,Add_Mach,Add_Others,sch2_addinit_during_yr_class_20,Excl_Comp,Excl_Mach,Excl_Others,sch2_dispsl_class_20,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1
56172,2023,N-Administrative and support service activities,13,1,226349899,0,213406742,12943157,3786962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56178,2023,F-Construction,5,1,4133050523,0,3494815320,638235203,41906308,49278229,0,48685261,0,19824458,0,188204511,0,0,0,21605048,2790000,3779661,0,0,0,0,0,0,0,0,0,0,0,0,0
56179,2023,S-Other service activities,19,1,256399899,0,255158297,1241602,100330,0,0,620200,288000,204800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56181,2023,K-Financial and insurance activities,10,1,18996702000,0,18995755516,946484,1070605,0,0,38708908,142431.44,3068133.38,0,191186.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56190,2023,F-Construction,5,1,306672415,0,297196790,9475625,9680722,0,0,0,0,68272000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56200,2023,C-Manufacturing,2,1,7909176409,0,7792208687,116967722,63470263,0,0,0,0,93808236,165357500,108367956.2,0,0,8267875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56220,2024,C-Manufacturing,2,1,6091759000,0,7742808000,-1651049000,595548514,65377000,0,168741214,2150400,251637600,0,151088700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56225,2023,C-Manufacturing,2,1,1274248600,0,860633516,413615084,91088481,0,0,0,0,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56228,2023,S-Other service activities,19,1,178333531,0,178333531,0,73048300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56231,2023,K-Financial and insurance activities,10,1,246951297,0,85535945,161415352,7966395,70091495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56239,2023,J-Information and communication,9,1,193132537,0,242292106,-49159569,1609656,0,0,0,1658880,3960832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56243,2023,I-Accommodation and food service activities,8,1,1310012055,0,1365445093,-55433038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56246,2023,F-Construction,5,1,405957654,0,604218378,-198260724,10917794,0,0,0,0,2762919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56247,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,730605752,0,735765659,-5159907,2360000,0,0,10499381,2700000,0,0,0,0,0,0,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56250,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,594120736,0,493819843,100300893,802749,0,0,0,0,966012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56251,2023,S-Other service activities,19,1,444020500,0,436612660,7407840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56253,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,461685926,0,459843957,1841969,2449080,0,0,18983264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56254,2023,C-Manufacturing,2,1,275485307,0,271243763,4241544,2660741,0,0,0,270000,15272960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56256,2023,I-Accommodation and food service activities,8,1,218000000,0,421254000,-203254000,161140000,0,0,66310330,3420000,187500000,0,0,0,0,0,0,235000000,45000000,0,0,0,0,0,0,0,0,0,0,0,0,0
56257,2023,F-Construction,5,1,490619001,0,459784361,30834640,1148721,0,0,0,0,4594888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56259,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1367860763,0,1364195221,3665542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56262,2023,"A-Agriculture, forestry and fishing",0,1,2834418339,0,4226206278,-1391787939,470996410,0,0,838468367,5391900000,0,0,2720200,0,0,0,67026400,0,6017000,0,0,0,0,0,0,0,0,0,0,0,0,0
56263,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,6144405000,0,5980463000,163942000,103741000,0,0,0,6435735,21015700,0,118706469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56265,2023,K-Financial and insurance activities,10,1,2378310000,0,3967278000,-1588968000,130684942,0,0,3883370320,2967661,88503804,0,0,0,0,0,34069000,437998000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56266,2023,F-Construction,5,1,2705992285,0,2194453831,511538454,115418055,0,0,206701589,0,96725411,5143151280,0,0,0,257157564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56273,2023,H-Transportation and storage,7,1,356514091,0,348043510,8470581,1357745,0,0,0,544320,1720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56275,2023,F-Construction,5,1,9606277043,0,9436690631,169586412,38397579,0,0,0,106427,156073847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56277,2023,J-Information and communication,9,1,158124662,0,156446400,1678262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56281,2023,S-Other service activities,19,1,651541900,0,663792324,-12250424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56283,2023,N-Administrative and support service activities,13,1,188246647,0,185394969,2851678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56295,2023,"M-Professional, scientific and technical activities",12,1,1557973340,0,1450967614,107005726,70430542,0,0,0,5057744,29051856,0,0,0,0,0,15287500,172561100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56296,2023,"M-Professional, scientific and technical activities",12,1,318141656,0,316530262,1611394,1560000,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56307,2023,N-Administrative and support service activities,13,1,255070000,0,249667224,5402776,361995,0,0,0,0,1469501.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56308,2023,"R-Arts, entertainment and recreation",18,1,509074906,0,587602065,-78527159,2529676,0,0,4184193,900000,10810880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56313,2023,H-Transportation and storage,7,1,1722112000,0,1599091000,123021000,0,0,0,0,0,93723168,0,11111583,0,0,0,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56314,2023,C-Manufacturing,2,1,810232051,0,789222839,21009212,14318400,0,0,47742797,0,42620184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56318,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,342851301,0,335576048,7275253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56331,2023,F-Construction,5,1,543616331,0,423999914,119616417,45071589,0,0,0,17637,47185682,0,100814271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56332,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,629108474,0,609528451,19580023,14546000,0,0,0,1152000,49139200,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56340,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,320239981,0,311651239,8588742,1704800,0,0,0,0,7884800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56344,2023,I-Accommodation and food service activities,8,1,490163554,0,668193068,-178029514,27867500,0,0,0,0,0,0,0,0,0,0,26000000,154300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56347,2023,N-Administrative and support service activities,13,1,259245762,0,258689312,556450,0,0,0,289596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56358,2023,C-Manufacturing,2,1,45704295000,0,41027321000,4676974000,154091000,468509000,0,0,34028,197656438,0,0,0,0,0,2780000,23099000,0,0,0,18644000,0,0,0,0,0,0,0,0,0,0
56362,2023,"D-Electricity, gas, steam and air conditioning supply",3,1,7537678000,0,5340239780,2197438220,2705990825,0,0,18400608056,0,0,0,4780267469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
