id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
44413,73.24,2015,27165.6123,390.09,0.0,1599.9999996,2359.999992,0.0,249.99999995999997,155.00000376,960.0,0.0,19.999999524,1104.0,2748.0,9587.089994844,9196.999994844,4681.08
46502,73.42,2015,28781.361324,409.16,0.0,7587.599999999999,13948.738691999999,476.40000000000003,660.0,1056.0,1440.0,500.00000004,519.9999847199999,0.0,20168.4,46766.29867676001,46357.138676760005,4909.92
21510,80.49,2015,6292.048095600001,410.45,0.0,1599.9999996,3943.0184676,14000.000004,1250.0000003999999,65100.0,14400.0,0.0,0.0,0.0,9600.0,110303.46847159999,109893.0184716,4925.4
4011,120.98,2015,44040.0,356.53,0.0,399.99999996,840.0,6010.9599996,0.0,5496.0,5568.0,1689.9999996,2192.0000615999998,5568.0,6166.799999999999,34288.29006076,33931.76006076,4278.36
28410,129.76,2015,1129.9999694399999,357.3980777,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.3980777,150.0,4288.7769324
9303,90.77,2015,151383.36323999998,386.41,0.0,0.0,0.0,0.0,480.0,0.0,4800.0,0.0,1609.9999692,5328.0,14400.0,27004.409969199998,26617.9999692,4636.92
31605,85.62,2015,128214.67968,431.16,736.4856,750.0,0.0,0.0,0.0,0.0,1128.0,0.0,0.0,0.0,2424.0,5469.6456,5038.4856,5173.92
15108,64.1,2015,23282.954592000002,464.0976152,116.2872,150.0,1800.0,0.0,0.0,0.0,1536.0,0.0,272.00000808,0.0,0.0,4338.38482328,3874.28720808,5569.1713824
52406,77.16,2015,7222.8002928000005,320.45,0.0,350.00000004000003,0.0,99.99999999600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.4500000360001,450.0000000360001,3845.3999999999996
15203,67.95,2015,37730.323248,387.15,3028.368,3750.0,4603.5831024,200.00000004000003,1860.0,28505.000004,6000.0,0.0,8169.999755999999,8600.4000096,86558.000004,151662.50087604,151275.35087604,4645.799999999999
49815,79.63,2015,8269.7438964,421.87,0.0,1910.0000004,0.0,600.0,0.0,0.0,960.0,0.0,1650.0,2376.0,766.59999996,8684.470000360001,8262.60000036,5062.4400000000005
