,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
53,"1,319,028.1133","3,265.0000","100,387.0000","1,319,028.1133","3,265.0000","100,387.0000","1,465,440.2339","3,627.0000","111,530.0000","1,561,729.2862","3,866.0000","118,859.0000","1,448,292.8684","3,585.0000","110,225.0000","1,448,292.8684","3,585.0000","110,225.0000","1,448,292.8684","3,585.0000","110,225.0000",0.0325,0.0325
54,"1,318,690.4132","3,856.0000","102,233.0000","1,318,690.4132","3,856.0000","102,233.0000","1,465,065.0491","4,283.0000","113,581.0000","1,561,329.4492","4,565.0000","121,044.0000","1,447,922.0737","4,233.0000","112,252.0000","1,447,922.0737","4,233.0000","112,252.0000","1,447,922.0737","4,233.0000","112,252.0000",0.0377,0.0377
55,"1,319,061.7153","3,683.0000","104,831.0000","1,319,061.7153","3,683.0000","104,831.0000","1,465,477.5657","4,092.0000","116,468.0000","1,561,769.0709","4,361.0000","124,120.0000","1,448,329.7634","4,044.0000","115,105.0000","1,448,329.7634","4,044.0000","115,105.0000","1,448,329.7634","4,044.0000","115,105.0000",0.0351,0.0351
56,"1,318,930.6675","4,137.0000","107,658.0000","1,318,930.6675","4,137.0000","107,658.0000","1,465,331.9716","4,596.0000","119,608.0000","1,561,613.9103","4,898.0000","127,467.0000","1,448,185.8729","4,543.0000","118,209.0000","1,448,185.8729","4,543.0000","118,209.0000","1,448,185.8729","4,543.0000","118,209.0000",0.0384,0.0384
57,"1,320,825.8204","4,405.0000","109,661.0000","1,320,825.8204","4,405.0000","109,661.0000","1,467,437.4865","4,894.0000","121,833.0000","1,563,857.7714","5,216.0000","129,838.0000","1,450,266.7508","4,837.0000","120,408.0000","1,450,266.7508","4,837.0000","120,408.0000","1,450,266.7508","4,837.0000","120,408.0000",0.0402,0.0402
58,"1,318,930.6675","5,174.0000","111,964.0000","1,318,930.6675","5,174.0000","111,964.0000","1,465,331.9716","5,748.0000","124,392.0000","1,561,613.9103","6,126.0000","132,565.0000","1,448,185.8729","5,681.0000","122,936.0000","1,448,185.8729","5,681.0000","122,936.0000","1,448,185.8729","5,681.0000","122,936.0000",0.0462,0.0462
59,"1,319,569.1056","5,167.0000","114,650.0000","1,319,569.1056","5,167.0000","114,650.0000","1,466,041.2763","5,740.0000","127,376.0000","1,562,369.8210","6,118.0000","135,745.0000","1,448,886.8779","5,674.0000","125,885.0000","1,448,886.8779","5,674.0000","125,885.0000","1,448,886.8779","5,674.0000","125,885.0000",0.0451,0.0451
60,"1,319,540.5439","5,349.0000","117,498.0000","1,319,540.5439","5,349.0000","117,498.0000","1,466,009.5442","5,943.0000","130,540.0000","1,562,336.0039","6,333.0000","139,117.0000","1,448,855.5172","5,873.0000","129,013.0000","1,448,855.5172","5,873.0000","129,013.0000","1,448,855.5172","5,873.0000","129,013.0000",0.0455,0.0455
61,"1,319,248.2064","5,760.0000","120,568.0000","1,319,248.2064","5,760.0000","120,568.0000","1,465,684.7574","6,399.0000","133,951.0000","1,561,989.8764","6,820.0000","142,752.0000","1,448,534.5307","6,325.0000","132,383.0000","1,448,534.5307","6,325.0000","132,383.0000","1,448,534.5307","6,325.0000","132,383.0000",0.0478,0.0478
62,"1,319,725.3549","6,264.0000","123,383.0000","1,319,725.3549","6,264.0000","123,383.0000","1,466,214.8693","6,959.0000","137,079.0000","1,562,554.8202","7,416.0000","146,086.0000","1,449,058.4396","6,877.0000","135,475.0000","1,449,058.4396","6,877.0000","135,475.0000","1,449,058.4396","6,877.0000","135,475.0000",0.0508,0.0508
63,"1,318,720.6550","6,194.0000","124,342.0000","1,318,720.6550","6,194.0000","124,342.0000","1,465,098.6477","6,882.0000","138,144.0000","1,561,365.2555","7,334.0000","147,221.0000","1,447,955.2792","6,801.0000","136,528.0000","1,447,955.2792","6,801.0000","136,528.0000","1,447,955.2792","6,801.0000","136,528.0000",0.0498,0.0498
64,"1,319,957.2087","6,660.0000","126,523.0000","1,319,957.2087","6,660.0000","126,523.0000","1,466,472.4588","7,399.0000","140,567.0000","1,562,829.3351","7,885.0000","149,803.0000","1,449,313.0151","7,312.0000","138,922.0000","1,449,313.0151","7,312.0000","138,922.0000","1,449,313.0151","7,312.0000","138,922.0000",0.0526,0.0526
65,"1,319,454.8587","7,170.0000","129,249.0000","1,319,454.8587","7,170.0000","129,249.0000","1,465,914.3481","7,965.0000","143,596.0000","1,562,234.5528","8,489.0000","153,031.0000","1,448,761.4349","7,872.0000","141,916.0000","1,448,761.4349","7,872.0000","141,916.0000","1,448,761.4349","7,872.0000","141,916.0000",0.0555,0.0555
66,"1,319,194.4432","6,929.0000","132,026.0000","1,319,194.4432","6,930.0000","132,026.0000","1,465,625.0264","7,699.0000","146,681.0000","1,561,926.2208","8,205.0000","156,319.0000","1,448,475.4987","7,609.0000","144,965.0000","1,448,475.4987","7,609.0000","144,965.0000","1,448,475.4987","7,609.0000","144,965.0000",0.0525,0.0525
67,"1,318,712.2545","7,640.0000","134,772.0000","1,318,712.2545","7,640.0000","134,772.0000","1,465,089.3148","8,487.0000","149,732.0000","1,561,355.3093","9,047.0000","159,570.0000","1,447,946.0554","8,389.0000","147,980.0000","1,447,946.0554","8,389.0000","147,980.0000","1,447,946.0554","8,389.0000","147,980.0000",0.0567,0.0567
